"","Marca temporal","Fecha","Titular","Enlace","Horario","Duración","Analista","Tipo_noticiero","Noticiero","Nivel_gobierno","Organización","Tendencia","id"
"550",2022-06-03 21:39:54,2022-06-03,"La alcaldesa Alejandra Gutiérrez afirmó que estarán siguiendo los recursos para que el tema de observaciones hechas a la academia metropolitana quede aclarado con la autoridad fiscal “SAT”.","https://drive.google.com/file/d/13g6qhN8g382UDM03TH49nvo5nMka50TI/view?usp=sharing","Vespertino",00:01:02,"Azucena","Radio","Blu fm"," municipios","leon",NA,2022-06-03 21:39:54
"551",2022-06-03 21:39:54,2022-06-03,"La alcaldesa Alejandra Gutiérrez afirmó que estarán siguiendo los recursos para que el tema de observaciones hechas a la academia metropolitana quede aclarado con la autoridad fiscal “SAT”.","https://drive.google.com/file/d/13g6qhN8g382UDM03TH49nvo5nMka50TI/view?usp=sharing","Vespertino",00:01:02,"Azucena","Radio","Blu fm"," municipios"," sat",NA,2022-06-03 21:39:54
"552",2022-06-03 21:41:09,2022-06-03,"Son ya 30 los equinos y burro que autoridades de León tienen identificados que son utilizados cono vehículos de atracción.","https://drive.google.com/file/d/1nZEZ207GvzP1WgA1hGOfgSHucR46KNAU/view?usp=sharing","Vespertino",00:02:23,"Azucena","Radio","Blu fm","organismos autonomos","leon",NA,2022-06-03 21:41:09
"553",2022-06-03 21:41:09,2022-06-03,"Son ya 30 los equinos y burro que autoridades de León tienen identificados que son utilizados cono vehículos de atracción.","https://drive.google.com/file/d/1nZEZ207GvzP1WgA1hGOfgSHucR46KNAU/view?usp=sharing","Vespertino",00:02:23,"Azucena","Radio","Blu fm","organismos autonomos"," derechos humanos",NA,2022-06-03 21:41:09
"554",2022-06-03 21:41:09,2022-06-03,"Son ya 30 los equinos y burro que autoridades de León tienen identificados que son utilizados cono vehículos de atracción.","https://drive.google.com/file/d/1nZEZ207GvzP1WgA1hGOfgSHucR46KNAU/view?usp=sharing","Vespertino",00:02:23,"Azucena","Radio","Blu fm"," municipios","leon",NA,2022-06-03 21:41:09
"555",2022-06-03 21:41:09,2022-06-03,"Son ya 30 los equinos y burro que autoridades de León tienen identificados que son utilizados cono vehículos de atracción.","https://drive.google.com/file/d/1nZEZ207GvzP1WgA1hGOfgSHucR46KNAU/view?usp=sharing","Vespertino",00:02:23,"Azucena","Radio","Blu fm"," municipios"," derechos humanos",NA,2022-06-03 21:41:09
"556",2022-06-03 21:42:05,2022-06-03,"De acuerdo a una encuesta realizada por el gobierno estatal 4 de cada 10 policías en el estado creen que su salario es bajo.","https://drive.google.com/file/d/12Vf8z8cf79pvaS4GJgAqO0j02pXWYy7P/view?usp=sharing","Vespertino",00:03:11,"Azucena","Radio","Blu fm","gobierno estatal","ssp",NA,2022-06-03 21:42:05
"557",2022-06-03 21:43:04,2022-06-03,"Reporte; Convenios firmados en el trabajo por la prevención en el mpio de León.","https://drive.google.com/file/d/161S4UrhrDhkmaYFpt08ExL8l3q9oKQee/view?usp=sharing","Vespertino",00:07:44,"Azucena","Radio","Blu fm","municipios","leon",NA,2022-06-03 21:43:04
"558",2022-06-03 21:44:56,2022-06-03,"Incumplen corporaciones policiales meta en el tiempo de respuesta; Escasez de vidrio impactará precio del vino, prevén alza del 25 por ciento; Policía de León localiza a cinco menores con reporte de desaparición.","https://drive.google.com/file/d/14LgbK1whboiKOJKV8dOe7ootqAuanpS-/view?usp=sharing","Vespertino",00:01:47,"Azucena","Internet","Zona Franca","municipios","leon",NA,2022-06-03 21:44:56
"559",2022-06-03 21:52:56,2022-06-03,"Accidente vial deja una mujer muerta y dos lesionados en León.","https://drive.google.com/file/d/1k5dKvkG3O6uabJJWFpl2_qlvHMiinFI1/view?usp=sharing","Nocturno",00:00:47,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","leon",NA,2022-06-03 21:52:56
"560",2022-06-03 21:52:56,2022-06-03,"Accidente vial deja una mujer muerta y dos lesionados en León.","https://drive.google.com/file/d/1k5dKvkG3O6uabJJWFpl2_qlvHMiinFI1/view?usp=sharing","Nocturno",00:00:47,"Alejandro","Televisión","Televisa Bajío"," municipios","leon",NA,2022-06-03 21:52:56
"561",2022-06-03 21:53:21,2022-06-03,"Calendario escolar de 200 días para recuperarse de afectaciones.","https://drive.google.com/file/d/1ehTRWubuSI87JPwrd_KyW5Om1IjVchD7/view?usp=sharing","Nocturno",00:01:21,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","seg",NA,2022-06-03 21:53:21
"562",2022-06-03 21:53:45,2022-06-03,"Concluyó la vacunación de jóvenes contra COVID-19.","https://drive.google.com/file/d/123ego8DyNhZGcCnlC7QtQB421Zoya_fd/view?usp=sharing","Nocturno",00:02:05,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","ssg","estrategia de vacunacion",2022-06-03 21:53:45
"563",2022-06-03 21:53:45,2022-06-03,"Concluyó la vacunación de jóvenes contra COVID-19.","https://drive.google.com/file/d/123ego8DyNhZGcCnlC7QtQB421Zoya_fd/view?usp=sharing","Nocturno",00:02:05,"Alejandro","Televisión","Televisa Bajío"," municipios","ssg","estrategia de vacunacion",2022-06-03 21:53:45
"564",2022-06-03 21:54:11,2022-06-03,"Detienen a tres criminales por el homicidio de joven de 22 años en Cortazar.","https://drive.google.com/file/d/18Qal-1SnYVN-2MPQ0mV_k_pmb0QHn5jX/view?usp=sharing","Nocturno",00:00:48,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","cortazar","acciones de la fiscalia",2022-06-03 21:54:11
"565",2022-06-03 21:54:11,2022-06-03,"Detienen a tres criminales por el homicidio de joven de 22 años en Cortazar.","https://drive.google.com/file/d/18Qal-1SnYVN-2MPQ0mV_k_pmb0QHn5jX/view?usp=sharing","Nocturno",00:00:48,"Alejandro","Televisión","Televisa Bajío"," municipios","cortazar","acciones de la fiscalia",2022-06-03 21:54:11
"566",2022-06-03 21:54:38,2022-06-03,"El Registro Estatal de Víctimas en Guanajuato podría cerrar el año con 3,000 personas.","https://drive.google.com/file/d/12TfDF_g8DiJJqgq7OoYyuh8njjmD5TKg/view?usp=sharing","Nocturno",00:01:15,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","comision estatal de atencion a victimas",NA,2022-06-03 21:54:38
"567",2022-06-03 21:55:08,2022-06-03,"Elementos de la Secretaría de Seguridad capacitaron a dueños de bares y empresarios para evitar extorsiones.","https://drive.google.com/file/d/1eZ-o9KTIXql9krxxCrw_rz5gUfsIdzNk/view?usp=sharing","Nocturno",00:01:06,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","leon",NA,2022-06-03 21:55:08
"568",2022-06-03 21:55:08,2022-06-03,"Elementos de la Secretaría de Seguridad capacitaron a dueños de bares y empresarios para evitar extorsiones.","https://drive.google.com/file/d/1eZ-o9KTIXql9krxxCrw_rz5gUfsIdzNk/view?usp=sharing","Nocturno",00:01:06,"Alejandro","Televisión","Televisa Bajío"," municipios","leon",NA,2022-06-03 21:55:08
"569",2022-06-03 21:55:34,2022-06-03,"En Guanajuato Capital van al menos 20 elementos separados de su cargo en 8 meses.","https://drive.google.com/file/d/1gXVdxGJEfylmtEUiHZ47brzgxHj96w1s/view?usp=sharing","Nocturno",00:01:17,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","guanajuato",NA,2022-06-03 21:55:34
"570",2022-06-03 21:55:34,2022-06-03,"En Guanajuato Capital van al menos 20 elementos separados de su cargo en 8 meses.","https://drive.google.com/file/d/1gXVdxGJEfylmtEUiHZ47brzgxHj96w1s/view?usp=sharing","Nocturno",00:01:17,"Alejandro","Televisión","Televisa Bajío"," municipios","guanajuato",NA,2022-06-03 21:55:34
"571",2022-06-03 21:55:53,2022-06-03,"En Romita se entregaron apoyos a los productores del campo.","https://drive.google.com/file/d/1W6tXe9H4HR7diNCWMLVKaXj77Biy_g-z/view?usp=sharing","Nocturno",00:01:36,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","romita",NA,2022-06-03 21:55:53
"572",2022-06-03 21:55:53,2022-06-03,"En Romita se entregaron apoyos a los productores del campo.","https://drive.google.com/file/d/1W6tXe9H4HR7diNCWMLVKaXj77Biy_g-z/view?usp=sharing","Nocturno",00:01:36,"Alejandro","Televisión","Televisa Bajío"," municipios","romita",NA,2022-06-03 21:55:53
"573",2022-06-03 21:56:15,2022-06-03,"Identifican a dos víctimas del ataque de un autolavado en Celaya.","https://drive.google.com/file/d/1uVJ1qR7dJN4IxQHHZ-Wr_G9KpaLxi-Nw/view?usp=sharing","Nocturno",00:00:45,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","celaya","inseguridad",2022-06-03 21:56:15
"574",2022-06-03 21:56:15,2022-06-03,"Identifican a dos víctimas del ataque de un autolavado en Celaya.","https://drive.google.com/file/d/1uVJ1qR7dJN4IxQHHZ-Wr_G9KpaLxi-Nw/view?usp=sharing","Nocturno",00:00:45,"Alejandro","Televisión","Televisa Bajío"," municipios","celaya","inseguridad",2022-06-03 21:56:15
"575",2022-06-03 21:56:43,2022-06-03,"Llaman a la unidad por la paz, policías piden confianza y respeto.","https://drive.google.com/file/d/1btPJbezAU_hNF2c8J_xU-WwX4xKnNvzM/view?usp=sharing","Nocturno",00:01:54,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","secretariado ejecutivo del sistema estatal de seguridad publica",NA,2022-06-03 21:56:43
"576",2022-06-03 21:56:43,2022-06-03,"Llaman a la unidad por la paz, policías piden confianza y respeto.","https://drive.google.com/file/d/1btPJbezAU_hNF2c8J_xU-WwX4xKnNvzM/view?usp=sharing","Nocturno",00:01:54,"Alejandro","Televisión","Televisa Bajío"," poder legislativo","secretariado ejecutivo del sistema estatal de seguridad publica",NA,2022-06-03 21:56:43
"577",2022-06-03 21:56:43,2022-06-03,"Llaman a la unidad por la paz, policías piden confianza y respeto.","https://drive.google.com/file/d/1btPJbezAU_hNF2c8J_xU-WwX4xKnNvzM/view?usp=sharing","Nocturno",00:01:54,"Alejandro","Televisión","Televisa Bajío"," partidos politicos","secretariado ejecutivo del sistema estatal de seguridad publica",NA,2022-06-03 21:56:43
"578",2022-06-03 21:57:05,2022-06-03,"Localizan cadáver a un costado de Arroyo de Alfaro en León.","https://drive.google.com/file/d/1bdF91iUJ2cZf9Dyvh-v8kmwA6najGi64/view?usp=sharing","Nocturno",00:01:20,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","leon","inseguridad",2022-06-03 21:57:05
"579",2022-06-03 21:57:05,2022-06-03,"Localizan cadáver a un costado de Arroyo de Alfaro en León.","https://drive.google.com/file/d/1bdF91iUJ2cZf9Dyvh-v8kmwA6najGi64/view?usp=sharing","Nocturno",00:01:20,"Alejandro","Televisión","Televisa Bajío"," municipios","leon","inseguridad",2022-06-03 21:57:05
"580",2022-06-03 21:57:23,2022-06-03,"Organismos se sumaron a la estrategia en materia de prevención del delito de León.","https://drive.google.com/file/d/1SSPwOpH40KV6Vv4A_bhU1MeSI3ofQuIa/view?usp=sharing","Nocturno",00:01:11,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","leon",NA,2022-06-03 21:57:23
"581",2022-06-03 21:57:23,2022-06-03,"Organismos se sumaron a la estrategia en materia de prevención del delito de León.","https://drive.google.com/file/d/1SSPwOpH40KV6Vv4A_bhU1MeSI3ofQuIa/view?usp=sharing","Nocturno",00:01:11,"Alejandro","Televisión","Televisa Bajío"," municipios","leon",NA,2022-06-03 21:57:23
"582",2022-06-03 21:57:23,2022-06-03,"Organismos se sumaron a la estrategia en materia de prevención del delito de León.","https://drive.google.com/file/d/1SSPwOpH40KV6Vv4A_bhU1MeSI3ofQuIa/view?usp=sharing","Nocturno",00:01:11,"Alejandro","Televisión","Televisa Bajío"," organizaciones civiles","leon",NA,2022-06-03 21:57:23
"583",2022-06-03 21:57:42,2022-06-03,"Por inseguridad, taxistas dejan de ofrecer servicio nocturno.","https://drive.google.com/file/d/1gOWZgc1ypqF0wZ-vkf1-B-KIL2X797Ag/view?usp=sharing","Nocturno",00:02:11,"Alejandro","Televisión","Televisa Bajío","municipios","celaya",NA,2022-06-03 21:57:42
"584",2022-06-03 21:58:00,2022-06-03,"Preocupa el tabaquismo en la Entidad, contemplan más espacios libres de humo.","https://drive.google.com/file/d/1zcuREHnxDVRuvEGfBG43lQh0S8QBNJbs/view?usp=sharing","Nocturno",00:01:22,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","ssg",NA,2022-06-03 21:58:00
"585",2022-06-03 21:58:24,2022-06-03,"Suman 190 casos documentados de violencia en escuelas del Estado de Guanajuato.","https://drive.google.com/file/d/1VFviEXacN0_iF5uyx6lHuvrB55WfcTcR/view?usp=sharing","Nocturno",00:01:29,"Alejandro","Televisión","Televisa Bajío","gobierno estatal","seg",NA,2022-06-03 21:58:24
"586",2022-06-03 21:58:28,2022-06-03,"Rezago educativo es de 1.5 años; SEG.","https://drive.google.com/file/d/1r6sYFxwQ2GEHlw94tna8tjYSkfcVJZOk/view?usp=sharing","Nocturno",00:02:42,"Elisa","Radio","Ultra FM","gobierno estatal","seg",NA,2022-06-03 21:58:28
"587",2022-06-03 21:58:28,2022-06-03,"Rezago educativo es de 1.5 años; SEG.","https://drive.google.com/file/d/1r6sYFxwQ2GEHlw94tna8tjYSkfcVJZOk/view?usp=sharing","Nocturno",00:02:42,"Elisa","Radio","Ultra FM"," municipios","seg",NA,2022-06-03 21:58:28
"588",2022-06-03 21:58:50,2022-06-03,"Autoridades estatales no descantar ampliar el número de espacios libres de tabaco.","https://drive.google.com/file/d/1VUmzBHkQVnJcrBbQVHYq6Xx61-jXO0ca/view?usp=sharing","Nocturno",00:05:59,"Elisa","Radio","Ultra FM","gobierno estatal","ssg",NA,2022-06-03 21:58:50
"589",2022-06-03 21:58:50,2022-06-03,"Autoridades estatales no descantar ampliar el número de espacios libres de tabaco.","https://drive.google.com/file/d/1VUmzBHkQVnJcrBbQVHYq6Xx61-jXO0ca/view?usp=sharing","Nocturno",00:05:59,"Elisa","Radio","Ultra FM"," municipios","ssg",NA,2022-06-03 21:58:50
"590",2022-06-03 21:59:08,2022-06-03,"Entrevista a José Adrián, cantante leones.","https://drive.google.com/file/d/148XS6udftPq-b1EaoJRWqhnSZ6mu0_mc/view?usp=sharing","Nocturno",00:08:00,"Elisa","Radio","En Línea de Fuego","gobierno estatal","leon",NA,2022-06-03 21:59:08
